"icao24","callsign","origin_country","time_position","last_contact","long","lat","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"8014b3","IGO6924 ","India","1667755796","1667755796","77.1883","28.5683","891.54","False","124.07","92.14","4.23","","906.78","","False","0"
"800da0","VTI798  ","India","1667755796","1667755796","77.4615","25.0998","10965.18","False","225.1","348","0","","11468.1","","False","0"
"800db4","VTI782  ","India","1667755796","1667755796","76.9804","28.5654","662.94","False","86.1","103.12","-3.9","","662.94","","False","0"
"8014de","IGO5605 ","India","1667755796","1667755796","77.3917","24.0398","11582.4","False","226.65","352.7","-0.33","","12131.04","","False","0"
"8014f8","AKJ1334 ","India","1667755796","1667755796","77.3273","28.4939","1851.66","False","144.71","206.38","5.53","","1905","","False","0"
"8014ce","IGO043  ","India","1667755796","1667755796","75.2706","28.6959","10363.2","False","189.25","264.23","0.33","","10751.82","","False","0"
"800fd0","IGO016  ","India","1667755797","1667755797","76.887","28.6126","830.58","False","103.82","104.93","-2.6","","845.82","","False","0"
"80058a","AIC816  ","India","1667755796","1667755796","74.1271","24.1458","10660.38","False","252.29","20.28","0","","11170.92","","False","0"
"800589","AIC808  ","India","1667755796","1667755796","77.2521","25.2307","11590.02","False","224.3","0.39","0","","12108.18","","False","0"
"8004a6","AIC770  ","India","1667755796","1667755797","76.8405","28.7977","2049.78","False","123.48","270.72","-5.85","","2125.98","","False","0"
"760996","PIA222  ","Pakistan","1667755675","1667755679","71.4185","30.1944","76.2","False","66.49","3.55","-0.65","","76.2","","False","0"
"760981","PIA239  ","Pakistan","1667755797","1667755797","71.6451","29.6885","10363.2","False","194.5","235.34","-0.33","","10675.62","","False","0"
"8004fe","AIC283  ","India","1667755796","1667755796","76.9508","23.4923","10050.78","False","233.02","174.68","0.33","","10568.94","","False","0"
"7609eb","PIA204  ","Pakistan","1667755791","1667755791","72.5572","29.9947","10660.38","False","266.95","49.06","-13.33","","11033.76","","False","0"
"7609e2","SIF146  ","Pakistan","1667755796","1667755796","72.0017","29.7924","10363.2","False","200.96","227.28","-0.33","","10690.86","","False","0"
"80073b","AIC834  ","India","1667755796","1667755796","77.2169","26.098","12184.38","False","247.07","358.09","0","","12672.06","","False","0"
"896537","ETD223  ","United Arab Emirates","1667755796","1667755796","74.2328","28.5411","11574.78","False","202.29","271.89","0","","11986.26","","False","0"
"888174","VJC972  ","Viet Nam","1667755796","1667755796","77.4176","28.433","2887.98","False","150.13","131.67","13","","2987.04","","False","0"
"88815d","VJC895  ","Viet Nam","1667755796","1667755796","77.21","28.8244","3040.38","False","125.58","271.64","-3.9","","3162.3","","False","0"
"780031","HYT9039 ","China","1667755797","1667755797","76.6071","28.7823","1531.62","False","118.86","191.99","-7.15","","1584.96","","False","0"
"7502da","MXD272  ","Malaysia","1667755796","1667755796","75.7401","29.6598","10058.4","False","254.49","132.62","0","","10401.3","","False","0"
"76cce2","SIA23   ","Singapore","1667755796","1667755796","77.2104","24.6439","12496.8","False","268.26","128.69","0","","13014.96","","False","0"
"76cdad","SIA323  ","Singapore","1667755797","1667755797","73.1182","28.0752","11887.2","False","280.07","117.93","0","","12283.44","","False","0"
"76ceef","SIA335  ","Singapore","1667755797","1667755797","77.2731","26.1141","10668","False","278.29","118.37","0","","11140.44","","False","0"
"8990dd","EVA096  ","Taiwan","1667755796","1667755796","76.4304","28.3349","10668","False","291.73","86.46","0","","11064.24","","False","0"
"761487","ABQ208  ","Pakistan","1667755767","1667755767","71.4497","31.3287","10675.62","False","244.56","26.35","-0.33","","10934.7","","False","0"
"800b61","AIC490  ","India","1667755794","1667755794","75.137","26.4856","11277.6","False","246.69","29.34","0","","11772.9","","False","0"
"3c458e","BOX534  ","Germany","1667755796","1667755796","75.3853","27.035","10668","False","280.01","117.22","0","","11117.58","","False","0"
"800c34","GOW2418 ","India","1667755794","1667755794","74.4191","27.573","11582.4","False","207.33","191.45","0","","12009.12","","False","0"
"800c39","IGO2208 ","India","1667755797","1667755797","76.6548","27.8839","6096","False","182.65","216.06","0","","6355.08","","False","0"
"800c10","IGO2752 ","India","1667755655","1667755664","77.0888","28.5584","","True","0","278.44","","","","","False","0"
"800c74","IGO6385 ","India","1667755796","1667755796","77.326","26.7548","11582.4","False","226.97","1.69","0","","12054.84","","False","0"
"800c86","AIC468  ","India","1667755796","1667755797","76.8495","28.4951","2278.38","False","99.21","282.88","-6.18","","2369.82","","False","0"
"800c4a","AIC883  ","India","1667755796","1667755796","74.7955","24.0554","10972.8","False","210.55","201.8","0","","11506.2","","False","0"
"800c90","IGO6246 ","India","1667755716","1667755716","77.1083","28.5672","","True","1.8","92.81","","","","","False","0"
"801404","IGO2422 ","India","1667755680","1667755682","77.0867","28.5624","","True","3.6","354.38","","","","","False","0"
"801402","IGO2519 ","India","1667755780","1667755780","77.0889","28.5616","","True","0","106.88","","","","","False","0"
"801439","VTI988  ","India","1667755742","1667755744","77.0707","28.5461","228.6","False","69","104.24","-2.93","","205.74","","False","0"
"800d4c","IGO6235 ","India","1667755796","1667755796","73.6893","24.4153","10812.78","False","259.15","43.07","5.2","","11330.94","","False","0"
"801441","VTI886  ","India","1667755796","1667755796","76.7897","28.5632","1363.98","False","104.83","69.61","-3.58","","1402.08","","False","0"
"800d32","IGO6565 ","India","1667755790","1667755790","77.0962","28.5688","","True","7.46","270","","","","","False","0"
"801422","IGO2035 ","India","1667755796","1667755796","77.4724","24.4731","10980.42","False","219.59","339.57","0","","11521.44","","False","0"
"80140e","IAD996  ","India","1667755796","1667755796","77.0894","28.5519","","True","5.66","331.88","","","","","False","0"
"800d3f","GOW194  ","India","1667755795","1667755795","77.106","28.5701","228.6","False","23.66","92.81","","","","","False","0"
"801434","VTISU   ","India","1667755747","1667755747","77.0839","28.5628","","True","5.4","101.25","","","","","False","0"
"800d9c","IGO2279 ","India","1667755677","1667755677","77.1019","28.5633","","True","41.16","104.06","","","","","False","0"
"80145b","IGO2402 ","India","1667755796","1667755796","77.1942","27.827","6035.04","False","194.33","15.51","-12.03","","6301.74","","False","0"
"80149a","IGO607  ","India","1667755795","1667755796","74.3168","24.6627","10378.44","False","207.35","224.6","0.33","","10888.98","","False","0"
"800bb6","IGO6384 ","India","1667755796","1667755796","77.0297","28.8015","2712.72","False","105.33","280.98","-5.53","","2827.02","","False","0"
"800be7","AIC814  ","India","1667755796","1667755796","75.9173","26.4217","10972.8","False","206.14","206.69","0","","11437.62","","False","0"
